,Ano,TituloLivro,GeneroLivro,NomeAutor,GeneroAutor,FaixaEtariaAutor,PaisAutor,NomeEditora,SedeEditora,PaisEdicao,Vencedor,Finalista,Semifinalista
0,2024,8,Conto,Deborah Christina Antunes,Feminino,de 40 a 50 anos,Brasil,Patuá,Brasil,Brasil,Não,Não,Não
1,2024,16,Conto,Fabio Fernandes,Masculino,de 50 a 60 anos,Brasil,Caos e Letras,Brasil,Brasil,Não,Não,Não
2,2024,(Di)vagar,Poesia,Camila Correia,Feminino,de 20 a 30 anos,Brasil,Ases da Literatura,Portugal,Brasil,Não,Não,Não
3,2024,(Entre)linhas e guias,Romance,Claudia Roberta Angst,Feminino,de 60 a 70 anos,Brasil,Folheando,Brasil,Brasil,Não,Não,Não
4,2024,(quase no fim),Conto,Eduardo Chacon,Masculino,de 40 a 50 anos,Brasil,Caravana,Brasil,Brasil,Não,Não,Não
5,2024,(RE) Verso da palavra,Poesia,Rony Santos,Masculino,de 50 a 60 anos,Brasil,Arribaçã,Brasil,Brasil,Não,Não,Não
6,2024,1+1=2 2-1=0,Romance,Fernanda Caleffi Barbetta,Feminino,de 40 a 50 anos,Estados Unidos,Cepe,Brasil,Brasil,Não,Não,Não
7,2024,10 reais e 01 maço de cigarros,Romance,Peter Larubia,Masculino,de 40 a 50 anos,Brasil,Patuá,Brasil,Brasil,Não,Não,Não
8,2024,1862 - A história de Carolina,Romance,Mila Mello,Feminino,de 40 a 50 anos,Brasil,Caravana,Brasil,Brasil,Não,Não,Não
9,2024,2044 - Transcendente: uma viagem no tempo,Romance,Adnelson Campos,Masculino,de 60 a 70 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
10,2024,22 de Espessura útil rasgada,Conto,Pedro Amor P. Palma,Masculino,de 30 a 40 anos,Portugal,Chiado,Portugal,Portugal,Não,Não,Não
11,2024,3 em 1,Poesia,Filipe J. D. Pereira,Masculino,de 60 a 70 anos,Portugal,Perfil Criativo,Portugal,Portugal,Não,Não,Não
12,2024,40 e picos - A viagem está só começando,Crônica,Adriana Hass,Feminino,de 50 a 60 anos,Brasil,Penalux,Brasil,Brasil,Não,Não,Não
13,2024,5 minutos,Dramaturgia,Marilia Carbonari,Feminino,de 40 a 50 anos,Brasil,Urutau,Brasil,Brasil,Não,Não,Não
14,2024,A 365 Degraus do Fim,Romance,Adriana C. A. Figueiredo,Feminino,de 40 a 50 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
15,2024,A Água Volta Como Memória,Poesia,Silvino Ferreira Jr,Masculino,de 60 a 70 anos,Reino Unido,Kotter,Brasil,Brasil,Não,Não,Não
16,2024,A aldeia do voo das gaivotas,Poesia,Ingrid N. Magalhaes,Feminino,de 20 a 30 anos,Brasil,Caravana,Brasil,Brasil,Não,Não,Não
17,2024,A aprendiz de erveira,Romance,Giu Yukari Murakami,Feminino,de 20 a 30 anos,Brasil,Folheando,Brasil,Brasil,Não,Não,Não
18,2024,A Arte de Driblar Destinos,Romance,Celso Costa,Masculino,de 70 a 80 anos,Brasil,LeYa,Portugal,Portugal,Não,Não,Não
19,2024,A arte de polir metais,Conto,Suzana Bins,Feminino,de 60 a 70 anos,Brasil,Libertinagem,Brasil,Brasil,Não,Não,Não
20,2024,A árvore do enforcado,Conto,Rodrigo Ortiz Vinholo,Masculino,de 30 a 40 anos,Brasil,Arkanus,Brasil,Brasil,Não,Não,Não
21,2024,A ascensão de Alice,Romance,Sonia Gandra,Feminino,de 60 a 70 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
22,2024,A Batida dos Lobos,Romance,Joaquim R. Vieira,Masculino,menos de 20 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
23,2024,À beira da felicidade,Crônica,Marcio Lambert,Masculino,de 60 a 70 anos,Brasil,Literíssima,Brasil,Brasil,Não,Não,Não
24,2024,A boca e outros mistérios,Conto,Lucas Ricardo,Masculino,de 20 a 30 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
25,2024,A Boneca Despida,Romance,Paulo M. Morais,Masculino,de 50 a 60 anos,Portugal,LeYa,Portugal,Portugal,Não,Não,Não
26,2024,A Bota Do Coronel,Romance,Elmo Policarpo De Melo,Masculino,de 60 a 70 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
27,2024,A Breve Canção da Vida ou Autobiografia de Um Fantasma,Romance,Natanael Oliveira Do Carmo,Masculino,de 60 a 70 anos,Brasil,Caravana,Brasil,Brasil,Não,Não,Não
28,2024,A bruxa do Monte de Sant'Ana,Romance,Fonseca Alves,Masculino,de 70 a 80 anos,Portugal,Mosaico,Portugal,Portugal,Não,Não,Não
29,2024,A busca pelo homem do chapéu preto: os arquivos de dona Anna,Conto,Rodrigo Ortiz Vinholo,Masculino,de 30 a 40 anos,Brasil,Delphi,Brasil,Brasil,Não,Não,Não
30,2024,A caminho do centro da queda,Romance,Flavio Luis Sousa,Masculino,de 30 a 40 anos,Brasil,Urutau,Brasil,Brasil,Não,Não,Não
31,2024,A camiseta de atlas,Poesia,Antonio Ailton,Masculino,de 50 a 60 anos,Brasil,Editora da UFMA,Brasil,Brasil,Não,Não,Não
